"Date","DateSampled","Tank","TA","Mass","Salinity","PrimingTreatment"
"20241008","Junk","1",2278.87114657198,60.358,35,"Junk"
"20241008","20240710","6",2330.48466291305,60.554,38.28,"Heat"
"20241008","20240717","5",2286.51848907817,59.717,38.69,"Control"
"20241008","20240802","6",2283.85237557416,59.797,38.55,"Heat"
"20241008","20240720","6",2291.7295202077,60.201,38.69,"Heat"
"20241008","20240814","3",2195.32173927517,60.488,38.89,"pH"
"20241008","20240722","6",2311.85748381852,60.609,38.69,"Heat"
"20241008","20240802","4",2277.594937705,59.845,38.84,"Control"
"20241008","20240814","7",2032.93315368947,59.846,39.02,"Heat"
