Tris date ,mVTris ,Ttris 
20240715,-92.5,14.6
20240715,-92.0,15
20240715,-91.5,15.5
20240715,-90.3,16.4
20240715,-89.8,17
20240715,-89.2,17.5
20240715,-88.5,18
20240715,-88.0,18.5
20240715,-86.8,19
20240715,-86.0,19.5
20240715,-85.6,20.2
20240715,-84.6,20.6
20240715,-84.2,21
20240715,-83.8,21.5
20240715,-83.6,22
20240715,-83.1,22.5
20240715,-82.6,23
20240715,-81.9,23.5
20240715,-81.3,24
20240715,-80.6,24.5
20240715,-80.3,25
20240715,-78.3,25.6
20240715,-78.1,26
20240715,-78.0,26.5
20240715,-76.9,27
20240715,76.1,27.5
20240715,-75.9,28
20240715,-74.8,28.5
20240715,-74.1,29
20240715,-73.3,29.5
20240715,-72.2,30
