Tris.date,mVTris,Ttris
20240701,-85.1,16.3
20240701,-84.9,16.7
20240701,-84.9,17.1
20240701,-84.8,15.5
20240701,-84.7,17.9
20240701,-84,18.3
20240701,-83.6,18.7
20240701,-83.2,19.1
20240701,-82.8,19.5
20240701,-82.3,19.9
20240701,-82,20.3
20240701,-81.5,20.7
20240701,-81.5,21.1
20240701,-80.6,21.5
20240701,-80.2,21.9
20240701,-79.8,22.3
20240701,-79.2,22.7
20240701,-79,23.1
20240701,-78.6,23.5
20240701,-78.1,23.9
20240701,-77.9,24.3
20240701,-77.7,24.7
20240701,-76.7,25.1
20240701,-76.5,25.5
20240701,-75.8,25.9
20240701,-75.5,26.3
20240701,-74.9,26.7
20240701,-74.3,27.1
20240701,-73.9,27.5
20240701,-71.8,27.9
20240701,-72.4,28.3
20240701,-73,28.7
20240701,-72.7,29.1
20240701,-72.5,29.5
20240701,-71.7,29.9
20240701,-71.5,30.3
20240701,-70.5,30.7
20240701,-69.5,31.1
