Tris.date,mVTris,Ttris
20240704,-80.4,23.4
20240704,-80,23.4
20240704,-80,23.8
20240704,-79.7,24
20240704,-79.4,24.2
20240704,-79.3,24.4
20240704,-79,24.6
20240704,-78.8,24.8
20240704,-78.6,25
20240704,-78.1,25.2
20240704,-77.7,25.4
20240704,-77.5,25.6
20240704,-77.2,25.8
20240704,-77,26
20240704,-76.7,26.2
20240704,-76.5,26.4
20240704,-76.2,26.6
20240704,-76,26.8
20240704,-75.6,27
20240704,-75.4,27.2
20240704,-75.2,27.4
20240704,-74.9,27.6
20240704,-74.5,27.8
20240704,-74,28
20240704,-73.9,28.2
20240704,-73.6,28.4
20240704,-73.4,28.6
20240704,-73.1,28.8
20240704,-72.7,29
20240704,-72.4,29.2
20240704,-71.8,30
20240704,-71.2,30.2
20240704,-70.9,30.4
20240704,-71,30.6
20240704,-70.2,30.8
20240704,-70,31
20240704,-69.9,31.2
20240704,-69.6,31.4
20240704,-69.4,41.6
20240704,-69.2,31.8
20240704,-68.9,32
