Tris.date,mVTris,Ttris
20240626,-88.3,18
20240626,-86.7,18.4
20240626,-86.2,18.8
20240626,-85.5,19.2
20240626,-84.6,19.6
20240626,-84.5,20
20240626,-84.3,20.4
20240626,-83.7,20.8
20240626,-83.1,21.2
20240626,-82.9,21.6
20240626,-82.3,22
20240626,-81.5,22.4
20240626,-80.9,22.8
20240626,-80.7,23.2
20240626,-80.2,23.6
20240626,-79.7,24
20240626,-79.1,24.4
20240626,-78.3,25.2
20240626,-77.9,25.6
20240626,-77.1,26.1
20240626,-76.5,26.4
20240626,-76.3,26.9
20240626,-75.9,27.2
20240626,-74.9,27.6
20240626,-74.8,28
20240626,-73.8,28.4
20240626,-73.3,28.8
20240626,-72.5,29.2
20240626,-72.2,29.6
20240626,-71.3,30
