Tris.date,mVTris,Ttris
20240608,-99,7.5
20240608,-97.4,8.1
20240608,-96.6,9.7
20240608,-99,10.1
20240608,-93,10.7
20240608,-94.3,11.6
20240608,-93.5,12.4
20240608,-92.9,12.8
20240608,-92.8,13.6
20240608,-89.9,14.1
20240608,-91.5,14.6
20240608,-91,15.1
20240608,-92.5,15.5
20240608,-90.8,15.9
20240608,-90.4,16.5
20240608,-90,16.9
20240608,-87.5,17.5
20240608,-87.5,17.9
20240608,-86.7,18.6
20240608,-87.4,19.2
20240608,-87.3,19.7
20240608,-84.7,20.3
20240608,-84.2,21
20240608,-83.7,21.4
20240608,-82.8,21.9
20240608,-82.8,22.3
20240608,-81.8,22.8
20240608,-82.4,23.2
20240608,-81.1,23.6
20240608,-80.4,24.2
20240608,-79.6,24.7
20240608,-81.1,25.1
20240608,-78.3,25.8
20240608,-77.3,26.4
20240608,-76.4,26.8
20240608,-75.8,27.2
20240608,-75,27.6
20240608,-74.4,28.1
20240608,-73.7,28.5
20240608,-73.2,28.9
20240608,-73,29.3
20240608,-71.7,29.7
20240608,-71.1,30.1
20240608,-69.8,30.5
20240608,-68.9,30.9
20240608,-68.5,31.3
20240608,-68,31.7
20240608,-67.2,32
