Date_Processed,well,Fragment_ID
20240116,A3,DL-3-25
20240116,A2,MD-2-4
20240116,B5,DL-3-24
20240116,B1,DL-1-25
20240116,D4,DL-4-23
20240116,B12,DL-4-14
20240116,E3,MD-5-26
20240116,A8,MD-2-25
20240116,F5,DL-4-19
20240116,B10,MD-5-20
20240116,B4,MD-4-11
20240116,A1,DL-2-16
20240116,E2,DL-1-4
20240116,F3,DL-3-3
20240116,A6,MD-1-1
20240116,D4,MD-2-5
20240116,D3,DL-2-1
20240116,C3,MD-4-21
20240116,E1,DL-1-10
20240116,A4,MD-2-3
20240116,C5,MD-1-9
20240116,A7,DL-4-4
20240116,D2,MD-4-13
20240116,B2,DL-2-23
20240116,D8,DL-3-25
20240116,H5,MD-2-4
20240116,G2,DL-3-24
20240116,F12,DL-1-25
20240116,G6,DL-4-23
20240116,G1,DL-4-14
20240116,D7,MD-5-26
20240116,E4,MD-2-25
20240116,E10,DL-4-19
20240116,H1,MD-5-20
20240116,D9,MD-4-11
20240116,F9,DL-2-16
20240116,H11,DL-1-4
20240116,A12,DL-3-3
20240116,G5,MD-1-1
20240116,E8,MD-2-5
20240116,C11,DL-2-1
20240116,H6,MD-4-21
20240116,G11,DL-1-10
20240116,H12,MD-2-3
20240116,A9,MD-1-9
20240116,F6,DL-4-4
20240116,E12,MD-4-13
20240116,H8,DL-2-23
20240116,A5,BLK
20240116,B11,BLK
20240116,C11,BLK
20240116,D12,BLK
20240116,E5,BLK
20240116,F2,BLK
20240116,G9,BLK
20240116,H7,BLK
