Date_Processed,well,Fragment_ID
20240117,A1,MD-2-26
20240117,B1,DL-2-15
20240117,C12,MD-5-21
20240117,D3,DL-3-7
20240117,E1,MD-4-19
20240117,G5,MD-1-18
20240117,C5,DL-4-9
20240117,D8,DL-4-2
20240117,D7,DL-3
20240117,E5,MD-5-4
20240117,F3,MD-5-19
20240117,G4,DL-1-26
20240117,B6,DL-1
20240117,A5,MD-1-12
20240117,D9,MD-1-19
20240117,C7,DL-3-16
20240117,A11,DL-3-4
20240117,A4,DL-1-2
20240117,A8,MD-2-6
20240117,E6,MD-2-10
20240117,B3,MD-2-24
20240117,E12,MD-5-13
20240117,D5,MD-5-1
20240117,A2,MD-1-25
20240117,H2,MD-2-26
20240117,G11,DL-2-15
20240117,H1,MD-5-21
20240117,F8,DL-3-7
20240117,C9,MD-4-19
20240117,A12,MD-1-18
20240117,H7,DL-4-9
20240117,C3,DL-4-2
20240117,A9,DL-3
20240117,D12,MD-5-4
20240117,F12,MD-5-19
20240117,B12,DL-1-26
20240117,H10,DL-1
20240117,E10,MD-1-12
20240117,E4,MD-1-19
20240117,G6,DL-3-16
20240117,E8,DL-3-4
20240117,H5,DL-1-2
20240117,H3,MD-2-6
20240117,G12,MD-2-10
20240117,G9,MD-2-24
20240117,B8,MD-5-13
20240117,H11,MD-5-1
20240117,H8,MD-1-25
20240117,A6,BLK
20240117,B2,BLK
20240117,C8,BLK
20240117,D11,BLK
20240117,E7,BLK
20240117,F1,BLK
20240117,G10,BLK
20240117,H4,BLK
