Date_Processed,well,Fragment_ID
20240117,D1,DL-1-9
20240117,B9,MD-1-17
20240117,D6,MD-2-13
20240117,D4,MD-4-9
20240117,A6,DL-3-22
20240117,E6,DL-1-8
20240117,B7,DL-3-23
20240117,C11,DL-4-15
20240117,A7,DL-4-8
20240117,D2,MD-2
20240117,A3,DL-3-26
20240117,B6,DL-4-21
20240117,C2,MD-4-12
20240117,B5,DL-4-20
20240117,C8,MD-5-11
20240117,C10,MD-1-26
20240117,C6,MD-2-23
20240117,D10,MD-1-3
20240117,B4,MD-5-25
20240117,B11,MD-1-21
20240117,C1,MD-1-15
20240117,B10,DL-4-18
20240117,E12,DL-2-5
20240117,C4,DL-4-3
20240117,A10,MD-5-16
20240117,F11,DL-1-9
20240117,F5,MD-1-17
20240117,E2,MD-2-13
20240117,E9,MD-4-9
20240117,H12,DL-3-22
20240117,G11,DL-1-8
20240117,G1,DL-3-23
20240117,H2,DL-4-15
20240117,G8,DL-4-8
20240117,E11,MD-2
20240117,F9,DL-3-26
20240117,H1,DL-4-21
20240117,E3,MD-4-12
20240117,F10,DL-4-20
20240117,G4,MD-5-11
20240117,G3,MD-1-26
20240117,F4,MD-2-23
20240117,F6,MD-1-3
20240117,H6,MD-5-25
20240117,H9,MD-1-21
20240117,F7,MD-1-15
20240117, F2,DL-4-18
20240117,C2,DL-2-5
20240117,G7,DL-4-3
20240117,G2,MD-5-16
20240117,H10,BLK
20240117,A1,BLK
20240117,F12,BLK
20240117,B9,BLK
