Date_Processed,well,Fragment_ID
20240115,G10,MD-5-7
20240115,C7,MD-5-7
20240115,D5,DL-1-18
20240115,G12,DL-1-18
20240115,E7,DL-2-17
20240115,H2,DL-2-17
20240115,F10,MD-2-16
20240115,C8,MD-2-16
20240115,E11,MD-1-10
20240115,B6,MD-1-10
20240115,E1,DL-2-11
20240115,C4,DL-2-11
20240115,A10,MD-1-22
20240115,G3,MD-1-22
20240115,B8,MD-4-25
20240115,F7,MD-4-25
20240115,H4,MD-5-23
20240115,C9,MD-5-23
20240115,C4,DL-2-7
20240115,G7,DL-2-7
20240115,F4,MD-1-23
20240115,G8,MD-1-23
20240115,C6,DL-2-18
20240115,H9,DL-2-18
20240115,D1,DL-3-1
20240115,G6,DL-3-1
20240115,D1,DL-3-12
20240115,G6,DL-3-12
20240115,B3,MD-4-20
20240115,H10,MD-4-20
20240115,A11,DL-4-10
20240115,H3,DL-4-10
20240115,C1,DL-2-9
20240115,F7,DL-2-9
20240115,F1,DL-4-13
20240115,C12,DL-4-13
20240115,C3,DL-4-6
20240115,E6,DL-4-6
20240115,A6,DL-2-14
20240115,F4,DL-2-14
20240115,A3,MD-5-12
20240115,G2,MD-5-12
20240115,B1,MD-4-14
20240115,E3,MD-4-14
20240115,A1,BLK
20240115,B2,BLK
20240115,C3,BLK
20240115,D4,BLK
20240115,E5,BLK
20240115,F6,BLK
20240115,G7,BLK
20240115,H8,BLK
