Date_Processed,well,Fragment_ID
20240215,B1,MD-2-2
20240215,A3,DL-1-12
20240215,E3,MD-2-9
20240215,C5,DL-1-14
20240215,D7,DL-3-2
20240215,C4,MD-4-6
20240215,D3,MD-4-15
20240215,A4,DL-4-23
20240215,D6,DL-1-7
20240215,C6,DL-4-10
20240215,B3,DL-4-5
20240215,C7,DL-2-16
20240215,C9,DL-3-4
20240215,C2,MD-4-21
20240215,C1,DL-1-10
20240215,D2,MD-1-11
20240215,B5,DL-4-7
20240215,B4,MD-5-12
20240215,F3,MD-2-11
20240215,G1,MD-1-9
20240215,E4,MD-5-20
20240215,G2,MD-2-5
20240215,F1,DL-3-25
20240215,E1,DL-4-19
20240215,B12,DL-3-24
20240215,D1,MD-5-26
20240215,G6,DL-1-25
20240215,D5,MD-2-24
20240215,G3,DL-1-4
20240215,H3,MD-2-3
20240215,A6,MD-1-1
20240215,G12,MD-2-2
20240215,H6,DL-1-12
20240215,A11,MD-2-9
20240215,G8,DL-1-14
20240215,H1,DL-3-2
20240215,F9,MD-4-6
20240215,G9,MD-4-15
20240215,E2,DL-4-23
20240215,E12,DL-1-7
20240215,G4,DL-4-10
20240215,F11,DL-4-5
20240215,G10,DL-2-16
20240215,F2,DL-3-4
20240215,D9,MD-4-21
20240215,H10,DL-1-10
20240215,C12,MD-1-11
20240215,H9,DL-4-7
20240215,F12,MD-5-12
20240215,C10,MD-2-11
20240215,C8,MD-1-9
20240215,F8,MD-5-20
20240215,D12,MD-2-5
20240215,D10,DL-3-25
20240215,C11,DL-4-19
20240215,H2,DL-3-24
20240215,A12,MD-5-26
20240215,F7,DL-1-25
20240215,H7,MD-2-24
20240215,D11,DL-1-4
20240215,B11,MD-2-3
20240215,E11,MD-1-1
20240215,A1,StandardA
20240215,H12,StandardA
20240215,B2,StandardB
20240215,G11,StandardB
20240215,C3,StandardC
20240215,F10,StandardC
20240215,D4,StandardD
20240215,E9,StandardD
20240215,E5,StandardE
20240215,D8,StandardE
20240215,F6,StandardF
20240215,C7,StandardF
20240215,G7,StandardG
20240215,B6,StandardG
20240215,H8,StandardH
20240215,A5,StandardH
20240215,A2,StandardI
20240215,H11,StandardI
