"Date","DateSampled","Tank","TA","Mass","Salinity","PrimingTreatment"
"20241031","Junk","1",2884.89543990544,60.265,35,"Junk"
"20241031","20240809","5",1291.48651454412,60.59,27.88,"Control"
"20241031","20240726","2",2353.43129688883,60.014,36.42,"pH"
"20241031","20240802","7",2278.81512744357,60.521,36.57,"Heat"
"20241031","20240809","4",1258.25480851197,60.068,27.53,"Control"
