Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Date_extraction,Date_prep,Initials,RNA_ng_ul_avg,RNA volume input for 12 ng (uL),DNAse free water volume (uL),Total start vol (uL),Total RNA input (ng),Library concentration (ng/uL),Library bp peak,Library volume (uL),Primer,Notebook post,Notes
MD-1-26,Tank_7,High_Temp,Control,20240815,20250603,20250702,FF,9.23,1.300108342,3.699891658,5,12,2.93,397,20,13,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md,
MD-5-13,Tank_3,Low_pH,NONE,20240806,20250525,20250612,FF,19.6,1,4,5,19.6,16.5,397,20,14,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-12-ENCORE-Priming-Library-Prep.md,
MD-1-18,Tank_3,Low_pH,Control,20240815,20250529,20250706,FF,16.9,0.7100591716,4.289940828,5,12,6.93,441,15,15,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md,
MD-4-15,Tank_2,Low_pH,High_Temp,20240815,20250527,20250612,FF,13.9,1,4,5,13.9,14.7,384,20,16,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-12-ENCORE-Priming-Library-Prep.md,
MD-5-7,Tank_6,High_Temp,High_Temp,20240815,20250531,20250706,FF,19.2,0.5729166667,4.427083333,5,11,7.61,444,15,16,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md,JA prepped on 6/11/2025 and recieved multiple peaks. FF redid on 7/06/2025 https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-11-Zymo-SwitchFree_ENCORE-Priming.md
MD-5-21,Tank_5,Control,Control,20240815,20250529,20250612,FF,17.25,1,4,5,17.25,10.7,434,20,17,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-12-ENCORE-Priming-Library-Prep.md,
MD-1-16,Tank_6,High_Temp,High_Temp,20240815,20250530,20250706,FF,10.4,1.153846154,3.846153846,5,12,4.83,483,15,17,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md,
MD-5-24,Tank_4,Control,NONE,20240806,20250527,20250612,FF,47.4,1,4,5,47.4,3.93,414,20,18,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-12-ENCORE-Priming-Library-Prep.md,
MD-5-14,Tank_4,Control,NONE,20240723,20240523,20250706,FF,42.8,0.2803738318,4.719626168,5,12,8.6,450,15,18,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/master/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md,
MD-1-5,Tank_7,High_Temp,NONE,20240723,20250523,20250612,FF,14.4,1,4,5,14.4,4.21,456,20,19,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-12-ENCORE-Priming-Library-Prep.md,
MD-1-11,Tank_2,Low_pH,NONE,20240723,20250529,20250706,FF,12.35,0.971659919,4.028340081,5,12,7.29,451,15,19,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md,FF prepped on 6/17/2025 and it failed 
MD-5-25,Tank_2,Low_pH,High_Temp,20240815,20250526,20250612,FF,10.6,1,4,5,10.6,12.3,392,20,20,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-12-ENCORE-Priming-Library-Prep.md,
MD-4-9,Tank_2,Low_pH,NONE,20240723,20250527,20250706,FF,15.9,0.7547169811,4.245283019,5,12,4.76,472,15,20,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md,FF prepped on 6/17/2025 and it failed 
MD-1-21,Tank_6,High_Temp,NONE,20240806,20250525,20250706,FF,30.2,0.3973509934,4.602649007,5,12,6.43,433,15,21,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md,
MD-2-5,Tank_5,Control,NONE,20240723,20250526,20250613,FF,17.6,0.6818181818,4.318181818,5,12,3.43,450,20,22,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-2-12,Tank_7,High_Temp,NONE,20240806,20250528,20250706,FF,17.7,0.6779661017,4.322033898,5,12,7.62,451,15,22,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-07-06-ENCORE-Priming-Library-Prep.md,
MD-1-13,Tank_2,Low_pH,High_Temp,20240815,20250527,20250613,FF,13.6,0.8823529412,4.117647059,5,12,5.74,433,20,23,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-1-19,Tank_5,Control,NONE,20240723,20250605,20250708,FF,6.27,1.913875598,3.086124402,5,12,4.76,439,15,23,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-08-ENCORE-Priming-Library-Prep.md,FF prepped on 6/20/2025 and recieved multiple peaks https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md
MD-2-14,Tank_6,High_Temp,NONE,20240806,20250529,20250613,FF,33.1,0.3625377644,4.637462236,5,12,2.55,478,20,24,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-1-15,Tank_6,High_Temp,NONE,20240723,20250523,20250708,FF,15.15,0.7920792079,4.207920792,5,12,6.07,442,15,24,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-08-ENCORE-Priming-Library-Prep.md,FF prepped on 6/17/2025 and it failed 
MD-5-15,Tank_6,High_Temp,NONE,20240806,20250515,20250613,FF,10.2,1.176470588,3.823529412,5,12,2.62,410,20,25,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-5-19,Tank_4,Control,High_Temp,20240815,20250602,20250708,FF,12,1,4,5,12,5.58,459,15,25,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5455b2dba302ad1b987c7ad7a8561a5c64460860/_posts/2025-07-06-08-ENCORE-Priming-Library-Prep.md,
MD-4-18,Tank_7,High_Temp,NONE,20240806,20250529,20250613,FF,33.7,0.3560830861,4.643916914,5,12,8.79,394,20,26,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-2,NA,NA,NONE,20240620,20250526,20250613,FF,10.4,1.153846154,3.846153846,5,12,6.53,464,20,27,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-5-1,Tank_2,Low_pH,NONE,20240806,20250529,20250613,FF,17.6,0.6818181818,4.318181818,5,12,4.4,458,20,28,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-5-17,Tank_2,Low_pH,High_Temp,20240815,20250524,20250613,FF,14.7,0.8163265306,4.183673469,5,12,11.4,429,20,30,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-4-23,Tank_6,High_Temp,NONE,20240806,20250528,20250616,FF,13.2,0.9090909091,4.090909091,5,12,10.5,426,20,31,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-1-2,Tank_4,Control,NONE,20240806,20250528,20250613,FF,19.9,0.6030150754,4.396984925,5,12,6.7,418,20,32,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-1-22,Tank_7,High_Temp,NONE,20240806,20250527,20250619,FF,28,0.4285714286,4.571428571,5,12,6.05,449,20,74,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-19-ENCORE-Priming-Library-Prep.md,FF prepped on 6/13/2025 and recieved multiple peaks and redid the sample https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md
MD-4-20,Tank_5,Control,NONE,20240806,20250528,20250616,JA,12.3,0.9756097561,4.024390244,5,12,10.7,377,15,37,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md,
MD-2-15,Tank_4,Control,NONE,20240806,20250529,20250616,JA,18.3,0.6557377049,4.344262295,5,12,12.2,439,15,38,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md,
MD-1-14,Tank_5,Control,NONE,20240806,20250528,20250616,JA,19.6,0.612244898,4.387755102,5,12,9.72,439,15,39,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md,
MD-5-16,Tank_6,High_Temp,NONE,20240723,20250523,20250616,JA,14.7,0.8163265306,4.183673469,5,12,16.6,439,15,40,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md,
MD-2-17,Tank_3,Low_pH,Control,20240815,20250524,20250616,JA,18.2,0.6593406593,4.340659341,5,12,8.08,443,15,41,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md,
MD-2-1,Tank_7,High_Temp,NONE,20240723,20250526,20250616,JA,29.4,0.4081632653,4.591836735,5,12,8.28,453,15,43,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md,
MD-4-12,Tank_3,Low_pH,NONE,20240723,20250523,20250616,JA,4,3,2,5,12,2.42,453,15,44,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md,
MD-2-9,Tank_2,Low_pH,High_Temp,20240815,20250530,20250617,JA,29.8,0.4026845638,4.597315436,5,12,24.5,429,15,45,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-17-Zymo-SwitchFree_ENCORE-Priming.md,
MD-1-9,Tank_5,Control,Control,20240815,20250530,20250617,JA,39.6,0.303030303,4.696969697,5,12,20.8,426,15,46,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-17-Zymo-SwitchFree_ENCORE-Priming.md,
MD-2-21,Tank_3,Low_pH,Control,20240815,20250530,20250617,JA,24.4,0.4918032787,4.508196721,5,12,17.9,431,15,47,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-17-Zymo-SwitchFree_ENCORE-Priming.md,
MD-5-9,Tank_5,Control,Control,20240815,20250529,20250617,JA,11.4,1.052631579,3.947368421,5,12,8.06,445,15,48,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-17-Zymo-SwitchFree_ENCORE-Priming.md,
MD-5-5,Tank_5,Control,NONE,20240723,20250527,20250617,JA,11,1.090909091,3.909090909,5,12,6.13,448,15,49,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-17-Zymo-SwitchFree_ENCORE-Priming.md,
MD-4-1,Tank_4,Control,NONE,20240723,20250526,20250617,JA,24.9,0.4819277108,4.518072289,5,12,7.69,457,15,50,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-17-Zymo-SwitchFree_ENCORE-Priming.md,
MD-5-22,Tank_3,Low_pH,Control,20240815,20250530,20250617,JA,21,0.5714285714,4.428571429,5,12,6.42,460,15,51,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-17-Zymo-SwitchFree_ENCORE-Priming.md,
MD-2-6,Tank_5,Control,Control,20240815,20250529,20250617,JA,16.05,0.7476635514,4.252336449,5,12,8.29,447,15,52,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-17-Zymo-SwitchFree_ENCORE-Priming.md,
MD-2-8,Tank_5,Control,NONE,20240806,20250529,20250630,JA,13.6,0.8823529412,4.117647059,5,12,4.37,441,15,58,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-30-Zymo-SwitchFree_ENCORE-Priming.md,
MD-1-20,Tank_3,Low_pH,NONE,20240723,20250527,20250618,JA,10.35,1.15942029,3.84057971,5,12,8.64,446,15,67,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-18-Zymo-SwitchFree_ENCORE-Priming.md,FF did this sample on 6/17/2025 and it failed 
