Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Date_extraction,Date_prep,Initials,RNA_ng_ul_avg,RNA volume input for 12 ng (uL),DNAse free water volume (uL),Total start vol (uL),Total RNA input (ng),Library concentration (ng/uL),Library bp peak,Library volume (uL),Primer,Notebook post,Notes
MD-4,NA,NA,NONE,20240620,20250605,20250620,FF,57.4,0.2090592334,4.790940767,5,12,6.82,399,20,80,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,
MD-1-6,Tank_2,Low_pH,NONE,20240806,20250529,20250624,JA/NC,36.5,0.3287671233,4.671232877,5,12,3.1,386,15,80,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-24-Zymo-SwitchFree_ENCORE-Priming.md,
MD-5,NA,NA,NONE,20240620,20250605,20250715,FF,38.2,0.3141361257,4.685863874,5,12,6.32,392,20,28,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/8dbcc97cf3facfa2982b3fdd22a16c5282cf4446/_posts/2025-07-15-ENCORE-Priming-Library-Prep.md
MD-5-4,Tank_7,High_Temp,Control,20240815,20250603,20250620,FF,16.5,0.7272727273,4.272727273,5,12,6.95,426,20,83,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,
MD-1-25,Tank_4,Control,High_Temp,20240815,20250602,20250620,FF,10.8,1.111111111,3.888888889,5,12,5.13,433,20,84,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,JA did sample on 08/11/25 but library had multple peaks
MD-1-12,Tank_7,High_Temp,Control,20240815,20250603,20250620,FF,15.2,0.7894736842,4.210526316,5,12,4.03,426,20,85,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,JA prepped on 6/16/25 but multiple peaks were present (see notebook post https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/master/_posts/2025-06-16-Zymo-SwitchFree_ENCORE-Priming.md); JA/NC prepped again on 6/24/25
MD-1-4,Tank_2,Low_pH,High_Temp,20240815,20250526,20250630,JA,13.7,1,4,5,12,9.54,443,15,85,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/566464902523b6d860269110a02a69c5ae1b8572/_posts/2025-06-19-ENCORE-Priming-Library-Prep.md,
MD-5-18,Tank_4,Control,High_Temp,20240815,20250605,20250620,FF,13.9,0.8633093525,4.136690647,5,12,5.31,436,20,86,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,FF did sample on 7/06/25 but library had multiple peaks 
MD-5-20,Tank_7,High_Temp,Control,20240815,20250603,20250630,JA,4.79,2.505219207,2.494780793,5,12,9.78,426,15,86,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/845ff56cfb2b20fdaf12fb037ea1a93820dddd14/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,FF did sample on 6/12/25 but library had multiple peaks (see https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5d35202a07da3c4f82ae47aa86f2966fef6da901/_posts/2025-06-12-ENCORE-Priming-Library-Prep.md). JA redid sample on 6/30/25
MD-4-10,Tank_4,Control,High_Temp,20240815,20250604,20250620,FF,20.6,0.5825242718,4.417475728,5,12,2.48,383,20,87,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,
MD-5-3,Tank_3,Low_pH,Control,20240815,20250530,20250630,JA,43.5,0.275862069,4.724137931,5,12,9.33,432,15,87,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/master/_posts/2025-06-24-Zymo-SwitchFree_ENCORE-Priming.md,
MD-5-23,Tank_3,Low_pH,NONE,20240723,20250606,20250620,FF,12.6,0.9523809524,4.047619048,5,12,8.37,432,20,88,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,
MD-1-7,Tank_4,Control,High_Temp,20240815,20250604,20250630,JA,27.6,0.4347826087,4.565217391,5,12,9.87,423,15,88,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/566464902523b6d860269110a02a69c5ae1b8572/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md,
MD-2-24,Tank_4,Control,High_Temp,20240815,20250602,20250620,FF,11.2,1.071428571,3.928571429,5,12,5.15,429,20,89,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-20-ENCORE-Priming-Library-Prep.md,
MD-4-4,Tank_7,High_Temp,NONE,20240723,20250605,20250622,FF,11.5,1.043478261,3.956521739,5,12,14.1,406,20,90,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-22-ENCORE-Priming-Library-Prep.md,
MD-4-6,Tank_6,High_Temp,NONE,20240723,20250523,20250622,FF,10,1.2,3.8,5,12,4-6,413,20,91,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-22-ENCORE-Priming-Library-Prep.md,
MD-2-26,Tank_7,High_Temp,Control,20240815,20250604,20250622,FF,13,0.9230769231,4.076923077,5,12,7.92,425,20,92,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-22-ENCORE-Priming-Library-Prep.md,
MD-4-16,Tank_7,High_Temp,Control,20240815,20250603,20250622,FF,13.3,0.9022556391,4.097744361,5,12,5.48,424,20,93,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-22-ENCORE-Priming-Library-Prep.md,
MD-4-17,Tank_4,Control,High_Temp,20240815,20250602,20240622,FF,20.6,0.5825242718,4.417475728,5,12,4.13,428,20,94,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-22-ENCORE-Priming-Library-Prep.md,
MD-4-3,Tank_6,High_Temp,High_Temp,20240815,20250604,20250622,FF,11.2,1.071428571,3.928571429,5,12,3.39,389,20,95,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-22-ENCORE-Priming-Library-Prep.md,
MD-4-11,Tank_7,High_Temp,Control,20240815,20250603,20250622,FF,7.03,1.706970128,3.293029872,5,12,3.91,433,20,96,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/a8a8cae85446da5ec7f49bc8c2bf0045e0ff406d/_posts/2025-06-22-ENCORE-Priming-Library-Prep.md,
MD-5-8,Tank_7,High_Temp,NONE,20240723,20250606,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
MDec-D1,NA,NA,NA,ENCORE TPC sample,ZD extracted,20250611,JA,27.3,0.4029304029,4.597069597,5,11,1.19,324,15,75,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/master/_posts/2025-06-11-Zymo-SwitchFree_ENCORE-Priming.md,NOT INCLUDED FOR SEQ; This is a sample from Bermuda ENCORE TPC that FS successfully library prepped (see post https://github.com/FScucchia-LabNotebooks/FScucchia_Putnam_Lab_Notebook/blob/a5378f473df0cbcee7da71b6b0a1e56ab5c85d8e/_posts/2024-11-21-LibraryPrep-ZymoSwitch-Hawaii-TPCA.md); I am retrying it to see if it works
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
