Sample.ID,Primer,Date.Sampled,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date_extraction,Date_prep,RNA_ng_ul_avg,RNA volume input for 12 ng (uL),DNAse free water volume (uL),Total start vol (uL),Total RNA input (ng),Library concentration (ng/uL),Library bp peak,Library volume (uL),Qbit #1 ng/uL,Qbit #2 ng/uL,Qbit avg ng/uL,Concentration in nM,Volume of stock that will be diluted (uL),Volume of Molecular grade water for dilutions,Concentration of final Solution (nM),Desired Volume of final diluted solution (uL)
MD-4-20,37,20240806,Tank_5,Control,NONE,20250528,20250616,12.3,0.97561,4.02439,5,12,10.7,377,15,8.74,8.7,8.72,35.04541436,1.141376147,8.858623853,4,10
MD-2-15,38,20240806,Tank_4,Control,NONE,20250529,20250616,18.3,0.655738,4.344262,5,12,12.2,439,15,11.1,11.1,11.1,38.31020915,1.044108108,8.955891892,4,10
MD-1-14,39,20240806,Tank_5,Control,NONE,20250528,20250616,19.6,0.612245,4.387755,5,12,9.72,439,15,11.7,11.6,11.65,40.20846276,0.9948154506,9.005184549,4,10
MD-5-16,40,20240723,Tank_6,High_Temp,NONE,20250523,20250616,14.7,0.816327,4.183673,5,12,16.6,439,15,20.6,20.6,20.6,71.098226,0.5626019417,9.437398058,4,10
MD-2-17,41,20240815,Tank_3,Low_pH,Control,20250524,20250616,18.2,0.659341,4.340659,5,12,8.08,443,15,5.8,5.76,5.78,19.76879404,2.023391003,7.976608997,4,10
MD-2-1,43,20240723,Tank_7,High_Temp,NONE,20250526,20250616,29.4,0.408163,4.591837,5,12,8.28,453,15,14.4,14.3,14.35,47.99652151,0.8333937282,9.166606272,4,10
MD-4-12,44,20240723,Tank_3,Low_pH,NONE,20250523,20250616,4,3,2,5,12,2.42,453,15,4.88,4.86,4.87,16.28871496,2.455687885,7.544312115,4,10
MD-2-9,45,20240815,Tank_2,Low_pH,High_Temp,20250530,2.03E+07,29.8,0.402685,4.597315,5,12,24.5,429,15,24,24,24,84.76372113,0.4719,9.5281,4,10
MD-1-9,46,20240815,Tank_5,Control,Control,20250530,20250617,39.6,0.30303,4.69697,5,12,20.8,426,15,39.2,39.2,39.2,139.4223929,0.2868979592,9.713102041,4,10
MD-2-21,47,20240815,Tank_3,Low_pH,Control,20250530,20250617,24.4,0.491803,4.508197,5,12,17.9,431,15,34.4,34.2,34.3,120.5793433,0.3317317784,9.668268222,4,10
MD-1-22,74,20240806,Tank_7,High_Temp,NONE,20250527,20250619,28,0.428571,4.571429,5,12,6.05,449,20,4.8,4.8,4.8,16.19761085,2.4695,7.5305,4,10
MD-2-13,77,20240815,Tank_6,High_Temp,High_Temp,20250531,20250619,6.55,1.832061,3.167939,5,12,5.59,448,20,4.44,4.42,4.43,14.98241342,2.66979684,7.33020316,4,10
MD-4-7,78,20240815,Tank_6,High_Temp,High_Temp,20250531,2.03E+07,12.9,0.930233,4.069767,5,12,7.75,454,20,5.78,5.76,5.77,19.25644106,2.077227036,7.922772964,4,10
MD-2-19,79,20240815,Tank_4,Control,High_Temp,20250531,20250619,28.7,0.418118,4.581882,5,12,5.19,469,20,4.26,4.2,4.23,13.66543904,2.927092199,7.072907801,4,10
MD-4,80,20240620,NA,NA,NONE,20250605,20250620,57.4,0.209059,4.790941,5,12,6.82,399,20,3.88,3.88,3.88,14.73380421,2.714845361,7.285154639,4,10
MD-1-12,85,20240815,Tank_7,High_Temp,Control,20250603,20250620,15.2,0.789474,4.210526,5,12,4.03,426,20,5.98,5.98,5.98,21.26902831,1.880668896,8.119331104,4,10
MD-5-18,86,20240815,Tank_4,Control,High_Temp,20250605,20250620,13.9,0.863309,4.136691,5,12,5.31,436,20,8.82,8.8,8.81,30.61579094,1.306515323,8.693484677,4,10
MD-4-10,87,20240815,Tank_4,Control,High_Temp,20250604,20250620,20.6,0.582524,4.417476,5,12,2.48,383,20,1.84,1.84,1.84,7.279056887,5.495217391,4.504782609,4,10
MD-5-23,88,20240723,Tank_3,Low_pH,NONE,20250606,20250620,12.6,0.952381,4.047619,5,12,8.37,432,20,13.3,13.2,13.25,46.47166105,0.8607396226,9.139260377,4,10
Pool1,,,,,,,,,,,,,1.08,479,,1.33,1.3,1.315,4.159549567,,,,
