Species,Genotype,Replicate,Zip.Color,Sample.id,Acclimation.Tank,Treatment.Tank,Treament
MD,4,28,Red,MD_4_28,,,
MD,4,29,Red,MD_4_29,,,
MD,4,30,Red,MD_4_30,,,
MD,4,31,Red,MD_4_31,,,
MD,4,32,Red,MD_4_32,,,
MD,4,33,Red,MD_4_33,,,
MD,4,34,Red,MD_4_34,,,
MD,4,35,Red,MD_4_35,,,
MD,4,36,Red,MD_4_36,,,
MD,4,37,Red,MD_4_37,,,
MD,4,38,Red,MD_4_38,,,
MD,4,39,Red,MD_4_39,,,
MD,4,40,Red,MD_4_40,,,
MD,4,41,Red,MD_4_41,,,
MD,4,42,Red,MD_4_42,,,
DL,1,1,Black,DL_1_1,,,
DL,1,2,Black,DL_1_2,,,
DL,1,3,Black,DL_1_3,,,
DL,1,4,Black,DL_1_4,,,
DL,1,5,Black,DL_1_5,,,
DL,1,6,Black,DL_1_6,,,
DL,1,7,Black,DL_1_7,,,
DL,1,8,Black,DL_1_8,,,
DL,1,9,Black,DL_1_9,,,
DL,1,10,Black,DL_1_10,,,
DL,1,11,Black,DL_1_11,,,
DL,1,12,Black,DL_1_12,,,
DL,1,13,Black,DL_1_13,,,
DL,1,14,Black,DL_1_14,,,
DL,1,15,Black,DL_1_15,,,
DL,1,16,Black,DL_1_16,,,
DL,1,17,Black,DL_1_17,,,
DL,1,18,Black,DL_1_18,,,
DL,1,19,Black,DL_1_19,,,
DL,1,20,Black,DL_1_20,,,
DL,1,21,Black,DL_1_21,,,
DL,1,22,Black,DL_1_22,,,
DL,1,23,Black,DL_1_23,,,
DL,1,24,Black,DL_1_24,,,
DL,1,25,Black,DL_1_25,,,
DL,1,26,Black,DL_1_26,,,
DL,1,27,Black,DL_1_27,,,
DL,1,28,Black,DL_1_28,,,
DL,1,29,Black,DL_1_29,,,
DL,1,30,Black,DL_1_30,,,
DL,1,31,Black,DL_1_31,,,
DL,1,32,Black,DL_1_32,,,
DL,1,33,Black,DL_1_33,,,
DL,1,34,Black,DL_1_34,,,
DL,1,35,Black,DL_1_35,,,
DL,1,36,Black,DL_1_36,,,
DL,1,37,Black,DL_1_37,,,
DL,1,38,Black,DL_1_38,,,
