Run,Temp,Treatment,Date,Start.time,Stop.time,Light_Percent,Light_Value
1,27,Control,20240722,8:20:40_AM,8:41:12_AM,331,331
1,27,Control,20240722,8:42:26_AM,9:02:00_AM,0,0
2,27,Control,20240722,9:36:04_AM,9:56:00_AM,331,331
2,27,Control,20240722,9:56:59_AM,10:16:09_AM,0,0
3,27,pH,20240722,11:43:47_AM,12:05:20_PM,331,331
3,27,pH,20240722,12:06:02_PM,12:29:46_PM,0,0
4,27,pH,20240722,1:17:01_PM,1:37:03_PM,331,331
4,27,pH,20240722,1:38:33_PM,1:58:31_PM,0,0
5,30,Heat,20240722,2:59:12_PM,3:19:27_PM,331,331
5,30,Heat,20240722,3:22:31_PM,3:42:11_PM,0,0
6,30,Heat,20240722,4:12:04_PM,4:36:05_PM,331,331
6,30,Heat,20240722,4:36:49_PM,4:56:13_PM,0,0
7,27,Control,20240723,9:47:27_AM,10:08:09_AM,331,331
7,27,Control,20240723,10:14:08_AM,10:34:02_AM,0,0
8,27,Control,20240723,11:06:44_AM,11:28:52_AM,331,331
8,27,Control,20240723,11:30:01_AM,12:01:08_PM,0,0
9,27,pH,20240723,1:04:40_PM,1:24:09_PM,331,331
9,27,pH,20240723,1:24:47_PM,1:44:58_PM,0,0
10,27,pH,20240723,2:36:01_PM,2:58:56_PM,331,331
10,27,pH,20240723,3:01:49_PM,3:21:02_PM,0,0
11,30,Heat,20240723,4:18:58_PM,4:38:13_PM,331,331
11,30,Heat,20240723,4:39:08_PM,4:59:07_PM,0,0
12,30,Heat,20240723,5:21:38_PM,5:41:23_PM,331,331
12,30,Heat,20240723,5:41:56_PM,6:01:14_PM,0,0
