"","sample.id","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-1",0.145689650338063,"pH","1","DL","Week3","Photo"
"2","DL-1-10",0.275677247653886,"Control","1","DL","Week3","Photo"
"3","DL-1-12",0.240324259352027,"Control","1","DL","Week3","Photo"
"4","DL-1-12",0.236365223414748,"Control","1","DL","Week3","Photo"
"5","DL-1-12",0.214095791154065,"Control","1","DL","Week3","Photo"
"6","DL-1-12",0.210136755216787,"Control","1","DL","Week3","Photo"
"7","DL-1-13",0.379875558660182,"pH","1","DL","Week3","Photo"
"8","DL-1-15",0.20679766845009,"pH","1","DL","Week3","Photo"
"9","DL-1-17",0.110833359154452,"pH","1","DL","Week3","Photo"
"10","DL-1-18",0.0661750003655627,"Heat","1","DL","Week3","Photo"
"11","DL-1-19",0.433141306778163,"Control","1","DL","Week3","Photo"
"12","DL-1-21",0.0504166901450502,"pH","1","DL","Week3","Photo"
"13","DL-1-22",0.176029937051056,"pH","1","DL","Week3","Photo"
"14","DL-1-23",0.151224468973918,"Heat","1","DL","Week3","Photo"
"15","DL-1-24",0.0844968178771624,"Control","1","DL","Week3","Photo"
"16","DL-1-3",0.19595410776737,"Heat","1","DL","Week3","Photo"
"17","DL-1-3",0.233863258182606,"Heat","1","DL","Week3","Photo"
"18","DL-1-3",0.214108507642249,"Heat","1","DL","Week3","Photo"
"19","DL-1-3",0.252017658057485,"Heat","1","DL","Week3","Photo"
"20","DL-1-7",0.0771486276516076,"Control","1","DL","Week3","Photo"
"21","DL-1-8",0.346275169470857,"Control","1","DL","Week3","Photo"
"22","DL-1-9",0.194830920912975,"Heat","1","DL","Week3","Photo"
"23","DL-2-10",0.278271495826856,"Heat","2","DL","Week3","Photo"
"24","DL-2-11",0.381746425959803,"Control","2","DL","Week3","Photo"
"25","DL-2-12",0.207994070636658,"Heat","2","DL","Week3","Photo"
"26","DL-2-14",0.192817900216403,"Control","2","DL","Week3","Photo"
