"","sample.id","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-1",0.154066792912916,"pH","1","DL","Week4","Photo"
"2","DL-1-10",0.37186010615649,"Control","1","DL","Week4","Photo"
"3","DL-1-11",0.49323022212689,"Heat","1","DL","Week4","Photo"
"4","DL-1-13",0.497321585755247,"pH","1","DL","Week4","Photo"
"5","DL-1-14",0.412172944096559,"Control","1","DL","Week4","Photo"
"6","DL-1-16",0.609843722166639,"pH","1","DL","Week4","Photo"
"7","DL-1-17",0.370282085392205,"pH","1","DL","Week4","Photo"
"8","DL-1-18",0.314434173264222,"Heat","1","DL","Week4","Photo"
"9","DL-1-19",-0.120976332665637,"Control","1","DL","Week4","Photo"
"10","DL-1-20",0.442400676770087,"Heat","1","DL","Week4","Photo"
"11","DL-1-21",0.304565649630463,"pH","1","DL","Week4","Photo"
"12","DL-1-23",0.623299856695781,"Heat","1","DL","Week4","Photo"
"13","DL-1-24",0.365235936567679,"Control","1","DL","Week4","Photo"
"14","DL-1-26",0.543787927524673,"Heat","1","DL","Week4","Photo"
"15","DL-1-4",0.400264328181418,"Control","1","DL","Week4","Photo"
"16","DL-1-5",0.557824730356517,"Heat","1","DL","Week4","Photo"
"17","DL-1-6",0.0778309908750539,"pH","1","DL","Week4","Photo"
"18","DL-2-1",0.412636759361137,"pH","2","DL","Week4","Photo"
"19","DL-2-10",0.614366419156641,"Heat","2","DL","Week4","Photo"
"20","DL-2-11",0.529659206660915,"Control","2","DL","Week4","Photo"
"21","DL-2-13",0.310561603921439,"Heat","2","DL","Week4","Photo"
"22","DL-2-14",0.550160722875659,"Control","2","DL","Week4","Photo"
"23","DL-2-16",0.135310043158539,"pH","2","DL","Week4","Photo"
"24","DL-2-19",0.495177405152035,"pH","2","DL","Week4","Photo"
"25","DL-2-2",0.515237287867307,"Control","2","DL","Week4","Photo"
"26","DL-2-20",0.506861164889035,"pH","2","DL","Week4","Photo"
"27","DL-2-22",0.600337668951039,"Heat","2","DL","Week4","Photo"
"28","DL-2-23",0.550643838522923,"Heat","2","DL","Week4","Photo"
"29","DL-2-24",0.53541042431367,"Heat","2","DL","Week4","Photo"
"30","DL-2-25",0.439964180226262,"Control","2","DL","Week4","Photo"
"31","DL-2-4",0.638728209140434,"Control","2","DL","Week4","Photo"
"32","DL-2-7",0.926974414196176,"Heat","2","DL","Week4","Photo"
"33","DL-2-8",0.69931079974523,"pH","2","DL","Week4","Photo"
"34","DL-3-1",0.475463163142005,"Control","3","DL","Week4","Photo"
"35","DL-3-11",0.790595754672089,"pH","3","DL","Week4","Photo"
"36","DL-3-14",0.404848344550016,"Control","3","DL","Week4","Photo"
"37","DL-3-16",0.742770439131893,"pH","3","DL","Week4","Photo"
"38","DL-3-17",0.399738934692831,"pH","3","DL","Week4","Photo"
"39","DL-3-18",0.612771917962618,"pH","3","DL","Week4","Photo"
"40","DL-3-19",0.467029151618808,"Control","3","DL","Week4","Photo"
"41","DL-3-20",0.561372999225718,"Heat","3","DL","Week4","Photo"
"42","DL-3-24",0.54236128204902,"Control","3","DL","Week4","Photo"
"43","DL-3-3",0.464486229080937,"Control","3","DL","Week4","Photo"
"44","DL-3-4",0.450740119677571,"Control","3","DL","Week4","Photo"
"45","DL-3-5",0.647757358803507,"Heat","3","DL","Week4","Photo"
"46","DL-3-7",0.622552701435877,"Heat","3","DL","Week4","Photo"
"47","DL-3-8",0.405560128299014,"pH","3","DL","Week4","Photo"
"48","DL-3-9",0.524867481474186,"pH","3","DL","Week4","Photo"
"49","DL-4-1",0.594783746012756,"Control","4","DL","Week4","Photo"
"50","DL-4-10",0.601199349635346,"pH","4","DL","Week4","Photo"
"51","DL-4-11",0.474229924686528,"pH","4","DL","Week4","Photo"
"52","DL-4-12",0.905842467214739,"pH","4","DL","Week4","Photo"
"53","DL-4-15",0.54609933145964,"Heat","4","DL","Week4","Photo"
"54","DL-4-17",1.15612726197097,"pH","4","DL","Week4","Photo"
"55","DL-4-18",0.547890537411464,"Control","4","DL","Week4","Photo"
"56","DL-4-19",0.611606956746817,"Heat","4","DL","Week4","Photo"
"57","DL-4-2",0.794559677118358,"Control","4","DL","Week4","Photo"
"58","DL-4-20",0.319738732699802,"Heat","4","DL","Week4","Photo"
"59","DL-4-21",0.73643422155549,"Control","4","DL","Week4","Photo"
"60","DL-4-22",0.648855883352744,"pH","4","DL","Week4","Photo"
"61","DL-4-23",0.73540875963613,"Control","4","DL","Week4","Photo"
"62","DL-4-24",0.600503682557593,"pH","4","DL","Week4","Photo"
"63","DL-4-25",0.854634852433639,"Heat","4","DL","Week4","Photo"
"64","DL-4-3",0.697069256539579,"Control","4","DL","Week4","Photo"
"65","DL-4-5",0.634322509821938,"Heat","4","DL","Week4","Photo"
"66","DL-4-9",0.465406839572203,"Heat","4","DL","Week4","Photo"
"67","MD-1-10",0.474675104040588,"pH","1","MD","Week4","Photo"
"68","MD-1-12",0.445448751776002,"Heat","1","MD","Week4","Photo"
"69","MD-1-12",0.374284735973266,"Heat","1","MD","Week4","Photo"
"70","MD-1-13",0.866224509505795,"pH","1","MD","Week4","Photo"
"71","MD-1-14",0.541772285212759,"Control","1","MD","Week4","Photo"
"72","MD-1-16",0.19960393216919,"Heat","1","MD","Week4","Photo"
"73","MD-1-17",-0.0438007882987399,"Heat","1","MD","Week4","Photo"
"74","MD-1-18",0.276936124043617,"pH","1","MD","Week4","Photo"
"75","MD-1-2",0.420244991495834,"Control","1","MD","Week4","Photo"
"76","MD-1-21",0.483308595645599,"Heat","1","MD","Week4","Photo"
"77","MD-1-22",0.251403051618301,"Heat","1","MD","Week4","Photo"
"78","MD-1-24",0.493429262675266,"Control","1","MD","Week4","Photo"
"79","MD-1-25",0.707748009527008,"Control","1","MD","Week4","Photo"
"80","MD-1-26",0.56025419742341,"Heat","1","MD","Week4","Photo"
"81","MD-1-4",0.464327788722123,"pH","1","MD","Week4","Photo"
"82","MD-1-6",0.425327475116356,"pH","1","MD","Week4","Photo"
"83","MD-1-7",0.508290514637876,"Control","1","MD","Week4","Photo"
"84","MD-1-8",0.390912990674991,"pH","1","MD","Week4","Photo"
"85","MD-2-10",-0.0161639576141527,"pH","2","MD","Week4","Photo"
"86","MD-2-12",0.343961761915375,"Heat","2","MD","Week4","Photo"
"87","MD-2-13",0.239131174658689,"Heat","2","MD","Week4","Photo"
"88","MD-2-14",0.470005160503926,"Heat","2","MD","Week4","Photo"
"89","MD-2-15",0.721981088902249,"Control","2","MD","Week4","Photo"
"90","MD-2-17",0.165825230667615,"pH","2","MD","Week4","Photo"
"91","MD-2-18",0.298815442210578,"Control","2","MD","Week4","Photo"
"92","MD-2-19",0.4144892481775,"Control","2","MD","Week4","Photo"
"93","MD-2-2",0.386365469527814,"pH","2","MD","Week4","Photo"
"94","MD-2-20",0.412576919723871,"pH","2","MD","Week4","Photo"
"95","MD-2-21",1.16884075618042,"pH","2","MD","Week4","Photo"
"96","MD-2-24",1.12162222807799,"Control","2","MD","Week4","Photo"
"97","MD-2-26",0.327507936004632,"Heat","2","MD","Week4","Photo"
"98","MD-2-3",0.735112975104467,"Heat","2","MD","Week4","Photo"
"99","MD-2-6",0.960900839355676,"Control","2","MD","Week4","Photo"
"100","MD-2-7",0.679992098144658,"Heat","2","MD","Week4","Photo"
"101","MD-2-8",0.604115498675835,"Control","2","MD","Week4","Photo"
"102","MD-4-10",0.283658187914539,"Control","4","MD","Week4","Photo"
"103","MD-4-11",0.22106023528443,"Heat","4","MD","Week4","Photo"
"104","MD-4-15",0.408962454143062,"pH","4","MD","Week4","Photo"
"105","MD-4-17",0.471825991558367,"Control","4","MD","Week4","Photo"
"106","MD-4-18",0.26195043039766,"Heat","4","MD","Week4","Photo"
"107","MD-4-19",0.192732616842798,"Control","4","MD","Week4","Photo"
"108","MD-4-2",0.202010655840455,"Control","4","MD","Week4","Photo"
"109","MD-4-20",0.207928309455175,"Control","4","MD","Week4","Photo"
"110","MD-4-21",0.252524261691099,"pH","4","MD","Week4","Photo"
"111","MD-4-23",0.598669497649754,"Heat","4","MD","Week4","Photo"
"112","MD-4-24",0.341794337888725,"pH","4","MD","Week4","Photo"
"113","MD-4-25",-0.325665274710399,"pH","4","MD","Week4","Photo"
"114","MD-4-26",0.258754573177393,"Control","4","MD","Week4","Photo"
"115","MD-4-3",-0.127012177569569,"Heat","4","MD","Week4","Photo"
"116","MD-4-5",0.132684022163884,"pH","4","MD","Week4","Photo"
"117","MD-4-7",0.041529602465775,"Heat","4","MD","Week4","Photo"
"118","MD-5-1",0.890486109945784,"pH","5","MD","Week4","Photo"
"119","MD-5-10",0.298387134361868,"Heat","5","MD","Week4","Photo"
"120","MD-5-11",0.202932633122091,"Heat","5","MD","Week4","Photo"
"121","MD-5-13",0.214328738236,"pH","5","MD","Week4","Photo"
"122","MD-5-15",0.578016037574238,"Heat","5","MD","Week4","Photo"
"123","MD-5-18",0.389646403080952,"Control","5","MD","Week4","Photo"
"124","MD-5-20",0.241843739637085,"Heat","5","MD","Week4","Photo"
"125","MD-5-21",0.391397030643169,"Control","5","MD","Week4","Photo"
"126","MD-5-22",0.091791442351557,"pH","5","MD","Week4","Photo"
"127","MD-5-24",0.207890806558238,"Control","5","MD","Week4","Photo"
"128","MD-5-25",0.486915209155362,"pH","5","MD","Week4","Photo"
"129","MD-5-3",0.17203305787335,"pH","5","MD","Week4","Photo"
"130","MD-5-4",0.193677397930786,"Heat","5","MD","Week4","Photo"
"131","MD-5-6",0.490403885865435,"Control","5","MD","Week4","Photo"
"132","MD-5-9",0.208122684190952,"Control","5","MD","Week4","Photo"
