"","sample.id","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-1",-0.433014026557461,"acclimation","1","DL","Week1","Resp"
"2","DL-1-10",-0.561204737409428,"acclimation","1","DL","Week1","Resp"
"3","DL-1-11",-0.531545944589262,"acclimation","1","DL","Week1","Resp"
"4","DL-1-12",-0.486576341801686,"acclimation","1","DL","Week1","Resp"
"5","DL-1-13",-0.528103184723061,"acclimation","1","DL","Week1","Resp"
"6","DL-1-14",-0.595718385205804,"acclimation","1","DL","Week1","Resp"
"7","DL-1-15",-0.151943058705284,"acclimation","1","DL","Week1","Resp"
"8","DL-1-16",-0.547163612528415,"acclimation","1","DL","Week1","Resp"
"9","DL-1-17",-0.339001852654004,"acclimation","1","DL","Week1","Resp"
"10","DL-1-18",-0.465362543999252,"acclimation","1","DL","Week1","Resp"
"11","DL-1-19",-0.451199481872995,"acclimation","1","DL","Week1","Resp"
"12","DL-1-20",-0.37087235954854,"acclimation","1","DL","Week1","Resp"
"13","DL-1-21",-0.402144622634459,"acclimation","1","DL","Week1","Resp"
"14","DL-1-22",-0.0841775544703801,"acclimation","1","DL","Week1","Resp"
"15","DL-1-24",-0.343123841969136,"acclimation","1","DL","Week1","Resp"
"16","DL-1-25",-0.473528373649074,"acclimation","1","DL","Week1","Resp"
"17","DL-1-26",-0.463176301001641,"acclimation","1","DL","Week1","Resp"
"18","DL-1-28",-0.510752069726767,"acclimation","1","DL","Week1","Resp"
"19","DL-1-3",-0.492091278995292,"acclimation","1","DL","Week1","Resp"
"20","DL-1-4",-0.37125834627045,"acclimation","1","DL","Week1","Resp"
"21","DL-1-5",-0.393149354446292,"acclimation","1","DL","Week1","Resp"
"22","DL-1-6",-0.0123924963014465,"acclimation","1","DL","Week1","Resp"
"23","DL-1-7",-0.312880102149114,"acclimation","1","DL","Week1","Resp"
"24","DL-1-8",-0.429078307213583,"acclimation","1","DL","Week1","Resp"
"25","DL-1-9",-0.583770582996248,"acclimation","1","DL","Week1","Resp"
"26","DL-2-1",-0.19672014221588,"acclimation","2","DL","Week1","Resp"
"27","DL-2-10",-0.586196458288359,"acclimation","2","DL","Week1","Resp"
"28","DL-2-11",-0.438759771367469,"acclimation","2","DL","Week1","Resp"
"29","DL-2-12",-0.375010385230276,"acclimation","2","DL","Week1","Resp"
"30","DL-2-13",-0.469638415779057,"acclimation","2","DL","Week1","Resp"
"31","DL-2-15",-0.363376782246894,"acclimation","2","DL","Week1","Resp"
"32","DL-2-16",-0.516258618134175,"acclimation","2","DL","Week1","Resp"
"33","DL-2-17",-0.35226879465847,"acclimation","2","DL","Week1","Resp"
"34","DL-2-2",-0.381443906493407,"acclimation","2","DL","Week1","Resp"
"35","DL-2-20",-0.455982290720063,"acclimation","2","DL","Week1","Resp"
"36","DL-2-21",-0.28814950135374,"acclimation","2","DL","Week1","Resp"
"37","DL-2-21",-0.288285591956599,"acclimation","2","DL","Week1","Resp"
"38","DL-2-21",-0.267405430499686,"acclimation","2","DL","Week1","Resp"
"39","DL-2-21",-0.267541521102545,"acclimation","2","DL","Week1","Resp"
"40","DL-2-22",-0.636677557888569,"acclimation","2","DL","Week1","Resp"
"41","DL-2-23",-0.343872224949065,"acclimation","2","DL","Week1","Resp"
"42","DL-2-24",-0.326632418147758,"acclimation","2","DL","Week1","Resp"
"43","DL-2-25",-0.43950426735464,"acclimation","2","DL","Week1","Resp"
"44","DL-2-3",-0.285630601817434,"acclimation","2","DL","Week1","Resp"
"45","DL-2-4",-0.456641160719087,"acclimation","2","DL","Week1","Resp"
"46","DL-2-5",-0.489256184281877,"acclimation","2","DL","Week1","Resp"
"47","DL-2-7",-0.541155459860311,"acclimation","2","DL","Week1","Resp"
"48","DL-2-8",-0.448248126714244,"acclimation","2","DL","Week1","Resp"
"49","DL-2-9",-0.447839421013852,"acclimation","2","DL","Week1","Resp"
"50","DL-3-1",-0.456417249207577,"acclimation","3","DL","Week1","Resp"
"51","DL-3-10",-0.555385995644073,"acclimation","3","DL","Week1","Resp"
"52","DL-3-11",-0.491477664812138,"acclimation","3","DL","Week1","Resp"
"53","DL-3-12",-0.638776569941424,"acclimation","3","DL","Week1","Resp"
"54","DL-3-14",-0.558947819835264,"acclimation","3","DL","Week1","Resp"
"55","DL-3-15",-0.564294878527935,"acclimation","3","DL","Week1","Resp"
"56","DL-3-16",0.0622623198858421,"acclimation","3","DL","Week1","Resp"
"57","DL-3-17",-0.487557803329044,"acclimation","3","DL","Week1","Resp"
"58","DL-3-18",-0.516337281236593,"acclimation","3","DL","Week1","Resp"
"59","DL-3-2",-0.50426702249855,"acclimation","3","DL","Week1","Resp"
"60","DL-3-20",-0.552191476509426,"acclimation","3","DL","Week1","Resp"
"61","DL-3-21",-0.351582573950403,"acclimation","3","DL","Week1","Resp"
"62","DL-3-22",-0.414806389391244,"acclimation","3","DL","Week1","Resp"
"63","DL-3-23",-0.532149933105276,"acclimation","3","DL","Week1","Resp"
"64","DL-3-24",-0.561117529159849,"acclimation","3","DL","Week1","Resp"
"65","DL-3-25",-0.435399875530158,"acclimation","3","DL","Week1","Resp"
"66","DL-3-26",-0.558629424658239,"acclimation","3","DL","Week1","Resp"
"67","DL-3-3",0.216918934248529,"acclimation","3","DL","Week1","Resp"
"68","DL-3-4",-0.367837350502797,"acclimation","3","DL","Week1","Resp"
"69","DL-3-5",-0.484140735896271,"acclimation","3","DL","Week1","Resp"
"70","DL-3-6",-0.546019140977845,"acclimation","3","DL","Week1","Resp"
"71","DL-3-7",-0.4220601924414,"acclimation","3","DL","Week1","Resp"
"72","DL-3-8",-0.722682815528538,"acclimation","3","DL","Week1","Resp"
"73","DL-3-9",-0.601445019306295,"acclimation","3","DL","Week1","Resp"
"74","DL-4-1",-0.0514912353933054,"acclimation","4","DL","Week1","Resp"
"75","DL-4-10",-0.538270590961822,"acclimation","4","DL","Week1","Resp"
"76","DL-4-12",-0.650475687375565,"acclimation","4","DL","Week1","Resp"
"77","DL-4-13",-0.174839826758998,"acclimation","4","DL","Week1","Resp"
"78","DL-4-14",-0.508364080703044,"acclimation","4","DL","Week1","Resp"
"79","DL-4-15",-0.314918797646095,"acclimation","4","DL","Week1","Resp"
"80","DL-4-16",-0.351238495785075,"acclimation","4","DL","Week1","Resp"
"81","DL-4-17",-0.655314889910128,"acclimation","4","DL","Week1","Resp"
"82","DL-4-18",-0.295504914980412,"acclimation","4","DL","Week1","Resp"
"83","DL-4-19",-0.201506445496396,"acclimation","4","DL","Week1","Resp"
"84","DL-4-2",-0.420842653757291,"acclimation","4","DL","Week1","Resp"
"85","DL-4-20",-0.657222772494212,"acclimation","4","DL","Week1","Resp"
"86","DL-4-21",-0.484203620922118,"acclimation","4","DL","Week1","Resp"
"87","DL-4-22",-0.648418774413956,"acclimation","4","DL","Week1","Resp"
"88","DL-4-23",-0.447975109426509,"acclimation","4","DL","Week1","Resp"
"89","DL-4-24",-0.425127525397528,"acclimation","4","DL","Week1","Resp"
"90","DL-4-25",-0.595154305569235,"acclimation","4","DL","Week1","Resp"
"91","DL-4-26",-0.418916003355521,"acclimation","4","DL","Week1","Resp"
"92","DL-4-3",-0.404075327476122,"acclimation","4","DL","Week1","Resp"
"93","DL-4-4",-0.42359224776969,"acclimation","4","DL","Week1","Resp"
"94","DL-4-5",-0.521070990868718,"acclimation","4","DL","Week1","Resp"
"95","DL-4-6",-0.469321959018939,"acclimation","4","DL","Week1","Resp"
"96","DL-4-7",-0.348567604431583,"acclimation","4","DL","Week1","Resp"
"97","DL-4-8",-0.504540424434819,"acclimation","4","DL","Week1","Resp"
"98","DL-4-9",-0.295329836795735,"acclimation","4","DL","Week1","Resp"
"99","MD-1-1",-0.347189878760226,"acclimation","1","MD","Week1","Resp"
"100","MD-1-10",-0.41728429896719,"acclimation","1","MD","Week1","Resp"
"101","MD-1-11",-0.36997464473349,"acclimation","1","MD","Week1","Resp"
"102","MD-1-12",-0.546334825429149,"acclimation","1","MD","Week1","Resp"
"103","MD-1-12",-0.459053449074601,"acclimation","1","MD","Week1","Resp"
"104","MD-1-13",-0.482326271364545,"acclimation","1","MD","Week1","Resp"
"105","MD-1-14",-0.345220377510227,"acclimation","1","MD","Week1","Resp"
"106","MD-1-16",-0.171295947238484,"acclimation","1","MD","Week1","Resp"
"107","MD-1-17",-0.478758671394549,"acclimation","1","MD","Week1","Resp"
"108","MD-1-18",-0.240703952910836,"acclimation","1","MD","Week1","Resp"
"109","MD-1-19",-0.706587582457845,"acclimation","1","MD","Week1","Resp"
"110","MD-1-2",-0.328780069739651,"acclimation","1","MD","Week1","Resp"
"111","MD-1-20",-0.333620571017005,"acclimation","1","MD","Week1","Resp"
"112","MD-1-21",-0.389531135941428,"acclimation","1","MD","Week1","Resp"
"113","MD-1-23",-0.360447914610876,"acclimation","1","MD","Week1","Resp"
"114","MD-1-24",-0.414250617332169,"acclimation","1","MD","Week1","Resp"
"115","MD-1-25",-0.32411075540382,"acclimation","1","MD","Week1","Resp"
"116","MD-1-26",-1.41705350651565,"acclimation","1","MD","Week1","Resp"
"117","MD-1-3",-0.446022366713359,"acclimation","1","MD","Week1","Resp"
